# Y-M-D_T_H:M:S       ObsNum  Receiver   ObsGoal      ObgPgm      SourceName                ProjectId                   RestFreq      VLSR    TINT    RA          DEC        AZ     EL   A1 E1
2024-04-12T09:21:26   116385  1MM        Calibration  Cal         W-Hya                     2024-S1-UM-11                  259.0390    41       5.7  207.258171 -28.367800  217.5  30.9  29.9988 0
2024-04-12T09:23:42   116386  1MM        Calibration  Cal         W-Hya                     2024-S1-UM-11                  255.4920    41       5.1  207.258171 -28.367800  217.9  30.5  29.9988 0
2024-04-12T09:25:31   116387  1MM        Calibration  Cal         W-Hya                     2024-S1-UM-11                  259.0390    41       5.0  207.258171 -28.367800  218.3  30.3  29.9988 0
2024-04-12T10:51:38   116411  1MM        Calibration  Cal         HD187885                  2024-S1-UM-11                  230.5380    20       5.0  298.219571 -17.030647  136.8  42.2  239.76 0
2024-04-12T10:52:12   116412  1MM        Pointing     Map(Az/D)   HD187885                  2024-S1-UM-11                  230.5380    20     147.4  298.219571 -17.030647  137.1  42.4  239.76 0
2025-01-21T08:41:43   125272  1MM        Calibration  Cal         RT-Vir                    2024-S1-UM-11                  230.5380    18       5.2  195.658363   5.185611  102.8  45.9  239.76 0
2025-01-21T08:42:25   125273  1MM        Pointing     Map(Az/D)   RT-Vir                    2024-S1-UM-11                  230.5380    18     147.5  195.658363   5.185611  103.5  47.0  239.76 0
2025-01-21T08:48:55   125274  1MM        Calibration  Cal         RT-Vir                    2024-S1-UM-11                  230.5380    18       5.8  195.658363   5.185611  104.3  48.3  239.76 0
2025-01-21T08:49:37   125275  1MM        Pointing     Map(Az/D)   RT-Vir                    2024-S1-UM-11                  230.5380    18     150.2  195.658363   5.185611  104.5  48.7  239.76 0
2025-01-21T08:56:09   125276  1MM        Calibration  Cal         QP183+05                  2024-S1-UM-11                  255.4920     0       5.7  183.112208   5.092639  115.8  61.1  29.9988 0
2025-01-21T08:56:51   125277  1MM        Science      Ps          QP183+05                  2024-S1-UM-11                  255.4920     0     603.1  183.112208   5.092639  116.1  61.4  29.9988 0
2025-01-21T09:12:11   125278  1MM        Calibration  Cal         QP183+05                  2024-S1-UM-11                  255.4920     0       5.0  183.112208   5.092639  120.6  64.5  29.9988 0
2025-01-21T09:12:48   125279  1MM        Science      Ps          QP183+05                  2024-S1-UM-11                  255.4920     0     605.5  183.112208   5.092639  121.0  64.7  29.9988 0
2025-01-21T09:27:52   125280  1MM        Calibration  Cal         QP183+05                  2024-S1-UM-11                  255.4920     0       5.1  183.112208   5.092639  126.5  67.6  29.9988 0
2025-01-21T09:28:29   125281  1MM        Science      Ps          QP183+05                  2024-S1-UM-11                  255.4920     0     602.4  183.112208   5.092639  127.0  67.8  29.9988 0
2025-01-21T09:43:32   125282  1MM        Calibration  Cal         RT-Vir                    2024-S1-UM-11                  230.5380    18       6.2  195.658363   5.185611  115.0  60.7  239.76 0
2025-01-21T09:44:18   125283  1MM        Pointing     Map(Az/D)   RT-Vir                    2024-S1-UM-11                  230.5380    18     148.9  195.658363   5.185611  115.3  60.9  239.76 0
2025-01-21T09:50:12   125284  1MM        Calibration  Cal         RT-Vir                    2024-S1-UM-11                  230.5380    18       5.8  195.658363   5.185611  116.7  62.0  239.76 0
2025-01-21T09:50:48   125285  1MM        Pointing     Map(Az/D)   RT-Vir                    2024-S1-UM-11                  230.5380    18     144.9  195.658363   5.185611  117.0  62.3  239.76 0
2025-01-21T09:59:32   125286  1MM        Calibration  Cal         QP183+05                  2024-S1-UM-11                  255.4920     0       5.0  183.112208   5.092639  144.3  73.0  29.9988 0
2025-01-21T10:00:40   125287  1MM        Science      Ps          QP183+05                  2024-S1-UM-11                  255.4920     0     604.9  183.112208   5.092639  145.2  73.2  29.9988 0
2025-01-21T10:16:29   125288  1MM        Calibration  Cal         QP183+05                  2024-S1-UM-11                  255.4920     0       5.1  183.112208   5.092639  157.9  74.9  29.9988 0
2025-01-21T10:17:09   125289  1MM        Science      Ps          QP183+05                  2024-S1-UM-11                  255.4920     0     600.9  183.112208   5.092639  158.6  75.0  29.9988 0
2025-01-26T09:34:45   125353  1MM        Calibration  Cal         RX-Boo                    2024-S1-UM-11                  230.5380     1       5.1  216.048513  25.703583   72.5  48.9  239.76 0
2025-01-26T09:36:24   125354  1MM        Pointing     Map(Az/D)   RX-Boo                    2024-S1-UM-11                  230.5380     1     139.7  216.048513  25.703583   72.5  49.3  239.76 0
2025-01-26T09:44:52   125355  1MM        Calibration  Cal         RX-Boo                    2024-S1-UM-11                  230.5380     1       5.0  216.048513  25.703583   72.5  51.2  239.76 0
2025-01-26T09:46:29   125356  1MM        Pointing     Map(Az/D)   RX-Boo                    2024-S1-UM-11                  230.5380     1     138.3  216.048513  25.703583   72.5  51.6  239.76 0
2025-01-28T06:34:40   125571  1MM        Calibration  Cal         CIT6                      2024-S1-UM-11                  230.5380    -2       5.0  154.009542  30.571972   58.5  64.4  239.76 0
2025-01-28T06:35:17   125572  1MM        Pointing     Map(Az/D)   CIT6                      2024-S1-UM-11                  230.5380    -2      51.6  154.009542  30.571972   58.4  64.6  239.76 0
2025-01-28T07:27:04   125581  1MM        Calibration  Cal         CIT6                      2024-S1-UM-11                  230.5380    -2       5.0  154.009542  30.571972   42.1  73.9  239.76 0
2025-01-28T07:27:39   125582  1MM        Pointing     Map(Az/D)   CIT6                      2024-S1-UM-11                  230.5380    -2     148.4  154.009542  30.571972   41.1  74.2  239.76 0
2025-01-28T07:33:23   125583  1MM        Calibration  Cal         CIT6                      2024-S1-UM-11                  230.5380    -2       5.1  154.009542  30.571972   37.8  75.1  239.76 0
2025-01-28T07:34:04   125584  1MM        Pointing     Map(Az/D)   CIT6                      2024-S1-UM-11                  230.5380    -2     148.9  154.009542  30.571972   37.3  75.2  239.76 0
2025-01-28T07:39:35   125585  1MM        Calibration  Cal         PJ1138                    2024-S1-UM-11                  229.0770     0       5.0  174.523042  32.965806   56.4  60.2  29.9988 0
2025-01-28T07:40:20   125586  1MM        Science      Ps          PJ1138                    2024-S1-UM-11                  229.0770     0     605.8  174.523042  32.965806   56.3  60.4  29.9988 0
2025-01-28T07:56:57   125587  1MM        Calibration  Cal         PJ1138                    2024-S1-UM-11                  229.0770     0       5.7  174.523042  32.965806   53.5  63.5  29.9988 0
2025-01-28T07:57:35   125588  1MM        Science      Ps          PJ1138                    2024-S1-UM-11                  229.0770     0     603.7  174.523042  32.965806   53.2  63.8  29.9988 0
2025-01-28T08:20:33   125589  1MM        Calibration  Cal         PJ1138                    2024-S1-UM-11                  229.0770     0       5.4  174.523042  32.965806   47.5  67.9  29.9988 0
2025-01-28T08:21:11   125590  1MM        Science      Ps          PJ1138                    2024-S1-UM-11                  229.0770     0     605.8  174.523042  32.965806   47.1  68.1  29.9988 0
2025-01-28T08:38:49   125591  1MM        Calibration  Cal         PJ1138                    2024-S1-UM-11                  229.0770     0       5.2  174.523042  32.965806   40.6  70.9  29.9988 0
2025-01-28T08:39:24   125592  1MM        Science      Ps          PJ1138                    2024-S1-UM-11                  229.0770     0     603.8  174.523042  32.965806   40.2  71.1  29.9988 0
2025-01-28T08:59:56   125593  1MM        Calibration  Cal         CIT6                      2024-S1-UM-11                  230.5380    -2       6.6  154.009542  30.571972  321.1  74.8  239.76 0
